From	To	Species	Gene Name
ENSMMUG00000023048	LOC705178	Macaca mulatta	cytochrome b-c1 complex subunit Rieske, mitochondrial(LOC705178)
ENSMMUG00000022577	CHRNA7	Macaca mulatta	cholinergic receptor nicotinic alpha 7 subunit(CHRNA7)
ENSMMUG00000004015	APOBEC3G	Macaca mulatta	apolipoprotein B mRNA editing enzyme catalytic subunit 3G(APOBEC3G)
ENSMMUG00000002989	NTAN1	Macaca mulatta	N-terminal asparagine amidase(NTAN1)
ENSMMUG00000022182	GNG5	Macaca mulatta	G protein subunit gamma 5(GNG5)
ENSMMUG00000013388	LOC715351	Macaca mulatta	putative elongation factor 1-alpha-like 3(LOC715351)
ENSMMUG00000007420	NUDT6	Macaca mulatta	nudix hydrolase 6(NUDT6)
ENSMMUG00000022570	NFYB	Macaca mulatta	nuclear transcription factor Y subunit beta(NFYB)
ENSMMUG00000016652	CCAR1	Macaca mulatta	cell division cycle and apoptosis regulator 1(CCAR1)
ENSMMUG00000007629	CCNT1	Macaca mulatta	cyclin T1(CCNT1)
ENSMMUG00000016085	UBA52	Macaca mulatta	ubiquitin A-52 residue ribosomal protein fusion product 1(UBA52)
ENSMMUG00000013060	NDUFA6	Macaca mulatta	NADH:ubiquinone oxidoreductase subunit A6(NDUFA6)
ENSMMUG00000021689	RACGAP1	Macaca mulatta	Rac GTPase activating protein 1(RACGAP1)
ENSMMUG00000019888	MAMU-E	Macaca mulatta	major histocompatibility complex, class I, E(MAMU-E)
ENSMMUG00000007421	ZCCHC7	Macaca mulatta	zinc finger CCHC-type containing 7(ZCCHC7)
ENSMMUG00000001443	CMTM6	Macaca mulatta	CKLF like MARVEL transmembrane domain containing 6(CMTM6)
ENSMMUG00000003552	ADH5	Macaca mulatta	alcohol dehydrogenase 5 (class III), chi polypeptide(ADH5)
ENSMMUG00000001442	HIST1H1B	Macaca mulatta	histone cluster 1, H1b(HIST1H1B)
ENSMMUG00000031892	LOC696696	Macaca mulatta	ubiquinone biosynthesis protein COQ4 homolog, mitochondrial pseudogene(LOC696696)
ENSMMUG00000031898	LOC704054	Macaca mulatta	40S ribosomal protein S24 pseudogene(LOC704054)
ENSMMUG00000016683	PHAX	Macaca mulatta	phosphorylated adaptor for RNA export(PHAX)
ENSMMUG00000016685	LOC718406	Macaca mulatta	importin subunit alpha-1-like(LOC718406)
ENSMMUG00000004421	CAMLG	Macaca mulatta	calcium modulating ligand(CAMLG)
ENSMMUG00000012525	LOC699375	Macaca mulatta	ribosomal protein L32-like(LOC699375)
ENSMMUG00000012526	GLT8D1	Macaca mulatta	glycosyltransferase 8 domain containing 1(GLT8D1)
ENSMMUG00000031189	LOC717779	Macaca mulatta	60S acidic ribosomal protein P2 pseudogene(LOC717779)
ENSMMUG00000007651	LOC699486	Macaca mulatta	liver carboxylesterase 1(LOC699486)
ENSMMUG00000021068	CYP2A24	Macaca mulatta	cytochrome P450, family 2, subfamily A, polypeptide 24(CYP2A24)
ENSMMUG00000014661	MRPS10	Macaca mulatta	mitochondrial ribosomal protein S10(MRPS10)
ENSMMUG00000007456	TARDBP	Macaca mulatta	TAR DNA binding protein(TARDBP)
ENSMMUG00000032359	NDUFA1	Macaca mulatta	NADH:ubiquinone oxidoreductase subunit A1(NDUFA1)
ENSMMUG00000031884	LOC703968	Macaca mulatta	UPF0534 protein C4orf43-like(LOC703968)
ENSMMUG00000029374	LOC704394	Macaca mulatta	ribosomal protein L18-like(LOC704394)
ENSMMUG00000013129	PPIH	Macaca mulatta	peptidylprolyl isomerase H(PPIH)
ENSMMUG00000013126	PPCS	Macaca mulatta	phosphopantothenoylcysteine synthetase(PPCS)
ENSMMUG00000019251	GBP3	Macaca mulatta	guanylate binding protein 3(GBP3)
ENSMMUG00000003578	rps23	Macaca mulatta	ribosomal protein S23(RPS23)
ENSMMUG00000020989	GstT1	Macaca mulatta	glutathione S-transferase theta 1(GSTT1)
ENSMMUG00000004630	CENPP	Macaca mulatta	centromere protein P(CENPP)
ENSMMUG00000009046	PRELID1	Macaca mulatta	PRELI domain containing 1(PRELID1)
ENSMMUG00000019647	TRMT112	Macaca mulatta	tRNA methyltransferase 11-2 homolog (S. cerevisiae)(TRMT112)
ENSMMUG00000016821	ADAMTS10	Macaca mulatta	ADAM metallopeptidase with thrombospondin type 1 motif 10(ADAMTS10)
ENSMMUG00000006747	POLL	Macaca mulatta	DNA polymerase lambda(POLL)
ENSMMUG00000029345	LOC696527	Macaca mulatta	interferon-induced transmembrane protein 3(LOC696527)
ENSMMUG00000008729	RPS5	Macaca mulatta	ribosomal protein S5(RPS5)
ENSMMUG00000020321	USP42	Macaca mulatta	ubiquitin specific peptidase 42(USP42)
ENSMMUG00000019640	GPR89A	Macaca mulatta	G protein-coupled receptor 89A(GPR89A)
ENSMMUG00000021851	FAM156B	Macaca mulatta	family with sequence similarity 156 member B(FAM156B)
ENSMMUG00000029348	LOC693577	Macaca mulatta	26S protease regulatory subunit 10B(LOC693577)
ENSMMUG00000022339	SURF6	Macaca mulatta	surfeit 6(SURF6)
ENSMMUG00000020703	C6orf125	Macaca mulatta	mitochondrial nucleoid factor 1(C6orf125)
ENSMMUG00000010207	EMG1	Macaca mulatta	EMG1, N1-specific pseudouridine methyltransferase(EMG1)
ENSMMUG00000020125	SENP1	Macaca mulatta	SUMO1/sentrin specific peptidase 1(SENP1)
ENSMMUG00000008725	ATP5J	Macaca mulatta	ATP synthase, H+ transporting, mitochondrial Fo complex subunit F6(ATP5J)
ENSMMUG00000022330	LOC709318	Macaca mulatta	sulfotransferase 1A1(LOC709318)
ENSMMUG00000022140	FAM127A	Macaca mulatta	family with sequence similarity 127, member A(FAM127A)
ENSMMUG00000014672	LOC698274	Macaca mulatta	mitogen-activated protein kinase kinase kinase MLT(LOC698274)
ENSMMUG00000014888	RPLP1	Macaca mulatta	ribosomal protein lateral stalk subunit P1(RPLP1)
ENSMMUG00000007465	DRHS4L2	Macaca mulatta	dehydrogenase/reductase SDR family member 4(DRHS4L2)
ENSMMUG00000029730	RPL29	Macaca mulatta	ribosomal protein L29(RPL29)
ENSMMUG00000020594	GINS2	Macaca mulatta	GINS complex subunit 2(GINS2)
ENSMMUG00000020721	LY75	Macaca mulatta	lymphocyte antigen 75(LY75)
ENSMMUG00000008190	KLHL14	Macaca mulatta	kelch like family member 14(KLHL14)
ENSMMUG00000016045	LOC705734	Macaca mulatta	spindlin-2B-like(LOC705734)
ENSMMUG00000014881	RAD17	Macaca mulatta	RAD17 checkpoint clamp loader component(RAD17)
ENSMMUG00000010603	ADA	Macaca mulatta	adenosine deaminase(ADA)
ENSMMUG00000030531	SIRT1	Macaca mulatta	sirtuin 1(SIRT1)
ENSMMUG00000016049	gnrhr2	Macaca mulatta	gonadotropin-releasing hormone II receptor(GNRHR2)
ENSMMUG00000019656	TTC14	Macaca mulatta	tetratricopeptide repeat domain 14(TTC14)
ENSMMUG00000014883	LOC707027	Macaca mulatta	COX assembly mitochondrial protein homolog(LOC707027)
ENSMMUG00000022345	C10H20orf196	Macaca mulatta	chromosome 10 open reading frame, human C20orf196(C10H20orf196)
ENSMMUG00000008717	L3HYPDH	Macaca mulatta	trans-L-3-hydroxyproline dehydratase(L3HYPDH)
ENSMMUG00000016044	AGBL5	Macaca mulatta	ATP/GTP binding protein like 5(AGBL5)
ENSMMUG00000008396	MCEE	Macaca mulatta	methylmalonyl-CoA epimerase(MCEE)
ENSMMUG00000001894	LOC703046	Macaca mulatta	cyclin-dependent kinase 11B(LOC703046)
ENSMMUG00000020716	LOC705310	Macaca mulatta	elongation factor 1-delta(LOC705310)
ENSMMUG00000014475	RNASEH1	Macaca mulatta	ribonuclease H1(RNASEH1)
ENSMMUG00000020714	LOC100426798	Macaca mulatta	DNA-directed RNA polymerases I, II, and III subunit RPABC4(LOC100426798)
ENSMMUG00000003909	FTL	Macaca mulatta	ferritin light chain(FTL)
ENSMMUG00000002563	ZDHHC5	Macaca mulatta	zinc finger DHHC-type containing 5(ZDHHC5)
ENSMMUG00000032525	LOC695079	Macaca mulatta	small nuclear ribonucleoprotein Sm D2 pseudogene(LOC695079)
ENSMMUG00000009066	LOC721752	Macaca mulatta	60S ribosomal protein L26 pseudogene(LOC721752)
ENSMMUG00000003926	BCL2L12	Macaca mulatta	BCL2 like 12(BCL2L12)
ENSMMUG00000010611	SOGA3	Macaca mulatta	SOGA family member 3(SOGA3)
ENSMMUG00000014892	AGPAT3	Macaca mulatta	1-acylglycerol-3-phosphate O-acyltransferase 3(AGPAT3)
ENSMMUG00000003136	MBD2	Macaca mulatta	methyl-CpG binding domain protein 2(MBD2)
ENSMMUG00000007494	ALG1	Macaca mulatta	ALG1, chitobiosyldiphosphodolichol beta-mannosyltransferase(ALG1)
ENSMMUG00000010225	RAB11B	Macaca mulatta	RAB11B, member RAS oncogene family(RAB11B)
ENSMMUG00000010226	MXD1	Macaca mulatta	MAX dimerization protein 1(MXD1)
